공고명,링크
2025년 하반기 NHN Cloud 경력 집중 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51961400&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[kt cloud] 2025년 경력직 인재Pool,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51702148&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
"AWS, KT, Naver, HCI클라우드매니지드/ 기술운영/ TA, AA 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51854948&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
"2025 가상화 및클라우드엔지니어 모집 (신입, 경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51816339&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[AI클라우드SW] 백엔드/프론트엔드/앱 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51695684&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
클라우드엔지니어 주니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51844849&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
"IT 시스템 엔지니어(서버, 가상화,클라우드) 신입 및 경력 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51642150&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[이지서티]클라우드엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51757999&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[클루커스] Cloud Security Engineer 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51792582&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[경력]클라우드(Cloud) 운영 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51861043&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
네이버클라우드게임플랫폼 운영 지원 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51782172&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
"AWS Cloud Solutions Architect / DevOps, Data&AI 부문",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51871148&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
IDC 및클라우드신입 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51720777&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[게임업계최상위]클라우드플랫폼 엔지니어 (K8s·AWS),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51937312&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[정규직]클라우드및 시스템 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51881042&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
한영시스텍(주) 구글클라우드운영 교대근무자 (잠실 삼성SDS),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51702589&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[NHN Cloud 2025년 하반기 집중채용]클라우드서비스 기획,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51886886&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
글로벌클라우드엔지니어 채용(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51889148&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[LG CNS 자회사] Cloud Infra 운영 채용(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51963356&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
(경력)클라우드기반 인프라 구축 / 운영자 채용(면접비 지급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51721676&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[NHN Cloud 2025 하반기 집중채용] 솔루션 아키텍트 컨설턴트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51816675&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
클라우드컨설팅 및 운영업무 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51701354&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
Cloud 엔지니어 신입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51922043&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
클라우드플랫폼 개발/운영자 모집 -신입/경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51832473&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
가상화 /클라우드엔지니어 모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51558578&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
[클라우드] 인프라 엔지니어(경력 1-3년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51842213&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C&searchType=search&paid_fl=n&search_uuid=bf8c816b-c2b5-479b-b48b-36ab60e0966e
